"","year","ICB_CODE","ICB_NAME","indicator","corr_coeff","logic","quin_1","2","3","4","quin_5","NA"
"35","2022","QHG","NHS Bedfordshire, Luton and Milton Keynes ICB","total_locum_gp",NA,NA,0,0,0,0,0,0
"36","2022","QHL","NHS Birmingham and Solihull ICB","TOTAL_GP_FTE",-0.771711331713643,TRUE,6.37241628350934,6.22871046228711,4.81351200335548,5.19722255736491,5.19256798265042,Inf
"37","2022","QHL","NHS Birmingham and Solihull ICB","TOTAL_GP_EXTG_FTE",-0.485980152226171,TRUE,4.61347700528103,4.76711662440715,3.4904838340833,3.85426076422764,4.25716230369408,Inf
"38","2022","QHL","NHS Birmingham and Solihull ICB","TOTAL_NURSES_FTE",-0.607938238397703,TRUE,1.95538478052955,1.75923349782884,1.5652792600498,1.57496543589432,1.74005042017735,Inf
"39","2022","QHL","NHS Birmingham and Solihull ICB","TOTAL_DPC_FTE",0.549416280110069,TRUE,1.18650352243233,1.58003810973767,1.63294928785267,2.30742650965337,1.53183410112026,Inf
"40","2022","QHL","NHS Birmingham and Solihull ICB","TOTAL_ADMIN_FTE",-0.810402164871813,TRUE,10.8621860162933,11.1857258734793,9.56202804789644,9.98908128272308,9.49080245267928,Inf
"41","2022","QHL","NHS Birmingham and Solihull ICB","TOTAL_GP_TR_GR",-0.742307488910749,TRUE,1.92,1.066666667,0,1.066666667,0,0
"42","2022","QHL","NHS Birmingham and Solihull ICB","total_locum_gp",NA,NA,0,0,0,0,0,0
"43","2022","QHM","NHS North East and North Cumbria ICB","TOTAL_GP_FTE",-0.968779166047912,TRUE,7.01403615116631,6.77351836998156,5.53543714433523,5.3615969018032,4.78994895759717,NA
"44","2022","QHM","NHS North East and North Cumbria ICB","TOTAL_GP_EXTG_FTE",-0.970163255973776,TRUE,5.18975024326954,4.80254933202598,4.48409785894495,4.27504708413838,4.20130223623179,NA
"45","2022","QHM","NHS North East and North Cumbria ICB","TOTAL_NURSES_FTE",0.835381401058086,TRUE,2.87367155827338,3.55070248433252,3.69248187467433,3.48880899210807,3.97388589270508,NA
"46","2022","QHM","NHS North East and North Cumbria ICB","TOTAL_DPC_FTE",-0.732260603271531,TRUE,3.07161798644077,2.17687074800355,2.23240989534963,2.02475580377269,2.1801288120376,NA
"47","2022","QHM","NHS North East and North Cumbria ICB","TOTAL_ADMIN_FTE",0.548973562630127,TRUE,12.8181873154362,13.8654426494964,13.7790252615463,13.9424561716052,13.571292956142,NA
"48","2022","QHM","NHS North East and North Cumbria ICB","TOTAL_GP_TR_GR",-0.707106781683732,TRUE,1.066666667,1.066666667,1.066666667,1.066666666,0,0
"49","2022","QHM","NHS North East and North Cumbria ICB","total_locum_gp",NA,NA,0,0,0,0,0,NA
"50","2022","QJ2","NHS Derby and Derbyshire ICB","TOTAL_GP_FTE",-0.532219598936546,TRUE,5.88429553544087,7.40266218319847,6.87186843003632,5.46053504929189,5.32420892084832,NA
"51","2022","QJ2","NHS Derby and Derbyshire ICB","TOTAL_GP_EXTG_FTE",-0.487631668399811,TRUE,4.70120242337944,4.91924514037023,4.93946292187811,4.71651079604882,4.55103939392761,NA
"52","2022","QJ2","NHS Derby and Derbyshire ICB","TOTAL_NURSES_FTE",-0.0168502877203254,FALSE,2.79378386094249,3.00540109055564,3.3422063388738,3.46410629819419,2.54416961130742,NA
"53","2022","QJ2","NHS Derby and Derbyshire ICB","TOTAL_DPC_FTE",-0.504139116262401,TRUE,2.80210157618214,2.65884652961877,1.6040102367397,1.68468468939191,2.40478554214647,NA
"54","2022","QJ2","NHS Derby and Derbyshire ICB","TOTAL_ADMIN_FTE",-0.262690221222382,TRUE,12.7374784115933,13.0915536977628,13.4784545137177,13.2280129527607,12.2827026127527,NA
"55","2022","QJ2","NHS Derby and Derbyshire ICB","TOTAL_GP_TR_GR",0.402199833247238,TRUE,0,1.92,2.133333333,2.1333333335,1.0666666665,NA
"56","2022","QJ2","NHS Derby and Derbyshire ICB","total_locum_gp",NA,NA,0,0,0,0,0,NA
"57","2022","QJG","NHS Suffolk and North East Essex ICB","TOTAL_GP_FTE",-0.0815342558108585,FALSE,5.68491327210174,4.59093722021787,5.67614770396707,5.86094357875773,4.90559948362111,NA
"58","2022","QJG","NHS Suffolk and North East Essex ICB","TOTAL_GP_EXTG_FTE",-0.612471211163806,TRUE,4.65211852237702,4.53707642067205,4.94233937397035,4.54755121448922,3.93887537872647,NA
"59","2022","QJG","NHS Suffolk and North East Essex ICB","TOTAL_NURSES_FTE",0.766119093313581,TRUE,2.84908525562224,2.51600251637252,2.88868597991201,3.01127666854091,4.86199821971896,NA
"60","2022","QJG","NHS Suffolk and North East Essex ICB","TOTAL_DPC_FTE",-0.635605286775736,TRUE,4.2411539884108,3.28679566569859,4.49726951493736,2.73593829622353,2.93086435283744,NA
"61","2022","QJG","NHS Suffolk and North East Essex ICB","TOTAL_ADMIN_FTE",0.550690516250083,TRUE,11.8626331820776,12.6326283550523,11.3219429398719,12.1506078444175,13.6120042891594,NA
"62","2022","QJG","NHS Suffolk and North East Essex ICB","TOTAL_GP_TR_GR",0.212814132709205,TRUE,0,0,1.706666667,1.066666667,0,NA
"63","2022","QJG","NHS Suffolk and North East Essex ICB","total_locum_gp",NA,NA,0,0,0,0,0,NA
"64","2022","QJK","NHS Devon ICB","TOTAL_GP_FTE",-0.634127771193106,TRUE,7.40012382060527,7.67392124795572,6.68375581600684,7.76714042073981,5.3106921382195,NA
"65","2022","QJK","NHS Devon ICB","TOTAL_GP_EXTG_FTE",-0.882652560925932,TRUE,5.58151313706869,5.67223746570217,5.24096138926422,5.05016497205575,3.84978946506832,NA
"66","2022","QJK","NHS Devon ICB","TOTAL_NURSES_FTE",-0.360123347406876,TRUE,3.43258353920166,3.15173612779122,3.32769451553381,3.29691197274179,3.24156243280512,NA
"67","2022","QJK","NHS Devon ICB","TOTAL_DPC_FTE",0.478064294038264,TRUE,2.94838002379231,1.88995761428929,2.95636183640993,3.03433174317666,3.15199130616304,NA
"68","2022","QJK","NHS Devon ICB","TOTAL_ADMIN_FTE",0.505055328479748,TRUE,13.7069192324388,12.2815881216895,12.9341269344075,13.9374668799682,14.1011285897094,NA
"69","2022","QJK","NHS Devon ICB","TOTAL_GP_TR_GR",0.377964473135778,TRUE,1.706666667,1.493333333,1.92,1.92,1.706666667,NA
"70","2022","QJK","NHS Devon ICB","total_locum_gp",NA,NA,0,0,0,0,0,NA
"71","2022","QJM","NHS Lincolnshire ICB","TOTAL_GP_FTE",-0.639627510573818,TRUE,5.75083764849223,5.42272316022043,6.41298833079655,4.62383449901661,4.57670304312293,NA
"72","2022","QJM","NHS Lincolnshire ICB","TOTAL_GP_EXTG_FTE",-0.752746627617266,TRUE,4.57811479338843,4.96691632900858,4.11021338346799,4.10286325360945,4.06398022928537,NA
"73","2022","QJM","NHS Lincolnshire ICB","TOTAL_NURSES_FTE",-0.0287654652147194,FALSE,3.67408688134861,3.75768197567878,5.19658119615385,3.69526702100734,3.64400076343998,NA
"74","2022","QJM","NHS Lincolnshire ICB","TOTAL_DPC_FTE",-0.706733749675822,TRUE,4.68822091416176,6.63942334900348,5.41634233902735,3.74043431428415,2.8769332951893,NA
"75","2022","QJM","NHS Lincolnshire ICB","TOTAL_ADMIN_FTE",-0.111480123464297,FALSE,14.1914191447593,13.8743662684229,13.8125296986357,13.1652823778823,14.3820866184932,NA
"76","2022","QJM","NHS Lincolnshire ICB","TOTAL_GP_TR_GR",-0.577350269189626,TRUE,1.066666667,0,1.066666667,0,0,NA
"77","2022","QJM","NHS Lincolnshire ICB","total_locum_gp",NA,NA,0,0,0,0,0,NA
"78","2022","QK1","NHS Leicester, Leicestershire and Rutland ICB","TOTAL_GP_FTE",-0.655066204645286,TRUE,5.66679850546543,6.35991797729871,5.72526293061816,4.1608054903777,5.04593445701357,NA
"79","2022","QK1","NHS Leicester, Leicestershire and Rutland ICB","TOTAL_GP_EXTG_FTE",-0.676388975021662,TRUE,4.27632819724077,5.04574042345626,4.41861423642884,3.84582298876157,3.7874396115942,NA
"80","2022","QK1","NHS Leicester, Leicestershire and Rutland ICB","TOTAL_NURSES_FTE",-0.69590989957302,TRUE,2.52263722652307,2.30181224813192,2.66500104153654,1.16601078559977,1.71950671184013,NA
"81","2022","QK1","NHS Leicester, Leicestershire and Rutland ICB","TOTAL_DPC_FTE",-0.815309829342637,TRUE,2.71332055503446,2.07923819551828,1.80077357142857,1.79427792344139,1.85051917343477,NA
"82","2022","QK1","NHS Leicester, Leicestershire and Rutland ICB","TOTAL_ADMIN_FTE",-0.559591420071199,TRUE,11.3327952249086,11.1614680538523,12.0727848101266,10.2194107845159,10.5185185185185,NA
"83","2022","QK1","NHS Leicester, Leicestershire and Rutland ICB","TOTAL_GP_TR_GR",-0.577350269189626,TRUE,1.066666667,0,1.066666667,0,0,NA
"84","2022","QK1","NHS Leicester, Leicestershire and Rutland ICB","total_locum_gp",NA,NA,0,0,0,0,0,NA
"85","2022","QKK","NHS South East London ICB","TOTAL_GP_FTE",-0.412075774899754,TRUE,5.19799640842075,4.76612189034699,4.12716976707645,4.91639362705965,4.60405318776175,27.3873000025857
"86","2022","QKK","NHS South East London ICB","TOTAL_GP_EXTG_FTE",-0.0479861605717937,FALSE,4.04498153700906,3.9474466443731,3.79626738404631,3.60549333245884,4.18209648432319,20.6308998956973
"87","2022","QKK","NHS South East London ICB","TOTAL_NURSES_FTE",0.506817721698766,TRUE,1.50093808630394,1.57262777653809,1.51598106533057,1.67745094659054,1.55967448428661,3.95882818685669
"88","2022","QKK","NHS South East London ICB","TOTAL_DPC_FTE",0.833788435348815,TRUE,0.566411781011045,1.04018912529551,0.963995714444821,1.25443377433169,1.15729149223836,11.9085592743222
"89","2022","QKK","NHS South East London ICB","TOTAL_ADMIN_FTE",0.131451435518707,FALSE,9.67094352710134,10.110083663144,9.24822695319149,10.3586196325383,9.72455805920497,137.156587601462
"90","2022","QKK","NHS South East London ICB","TOTAL_GP_TR_GR",-0.381000380909354,TRUE,1.066666666,0,0,0.853333333,0,0.8533333335
"91","2022","QKK","NHS South East London ICB","total_locum_gp",NA,NA,0,0,0,0,0,0
"92","2022","QKS","NHS Kent and Medway ICB","TOTAL_GP_FTE",-0.702555752127839,TRUE,4.3178732742891,4.84816007229784,5.01939917991354,3.86770463805112,2.98842029000068,NA
"93","2022","QKS","NHS Kent and Medway ICB","TOTAL_GP_EXTG_FTE",-0.833162644195623,TRUE,4.10276071423452,4.06100419423153,4.26855650876539,3.10417972971613,2.94985372639771,NA
"94","2022","QKS","NHS Kent and Medway ICB","TOTAL_NURSES_FTE",0.23810462215018,TRUE,1.74085089940891,2.37342192162652,2.8700754691056,1.50599772261623,2.60997564814623,NA
"95","2022","QKS","NHS Kent and Medway ICB","TOTAL_DPC_FTE",-0.491873178849103,TRUE,1.97310347380474,3.26460481099656,2.30079545716997,1.25256874449555,1.82450438715987,NA
"96","2022","QKS","NHS Kent and Medway ICB","TOTAL_ADMIN_FTE",0.299668622174587,TRUE,10.942523215745,12.3049350849279,12.6828202179882,11.0391612673451,12.3428915443667,NA
"97","2022","QKS","NHS Kent and Medway ICB","TOTAL_GP_TR_GR",-8.98414111899423e-21,FALSE,0,0,1.066666666,0,0,NA
"98","2022","QKS","NHS Kent and Medway ICB","total_locum_gp",NA,NA,0,0,0,0,0,NA
